TAP_Chains_Name	Bypassreg	SIZE	Fublets	MIFS	Instance	ChainName	PowerDomain	ControlPowerSupply
TAP CDU_CCU_TAP	IOVCTL	SIZE = 98;	IDV_CHAIN					
			CCU_SAPLL_0.ADDR
			CCU_SAPLL_1.ADDR	ctech_lib_buf
			CCU_SAPLL_2.ADDR	ctech_lib_buf	par_ccu.iov_ccu.ccu_iov_rpt.buf_tdo	par_ccu_chain_0	vccsa	vccsa
			CCU_SAPLL_3.ADDR	ctech_lib_buf	par_ccu.iov_ccu.ccu_iov_rpt.buf_tdo	par_ccu_chain_0	vccsa	vccsa
			CCU_IUNITPLL_0.ADDR	ctech_lib_buf	par_ccu.iov_ccu.ccu_iov_rpt.buf_tdo	par_ccu_chain_0	vccsa	vccsa
			CCU_IUNITPLL_1.ADDR	ctech_lib_buf	par_ccu.iov_ccu.ccu_iov_rpt.buf_tdo	par_ccu_chain_0	vccsa	vccsa
			CCU_IUNITPLL_2.ADDR	ctech_lib_buf	par_ccu.iov_ccu.ccu_iov_rpt.buf_tdo	par_ccu_chain_0	vccsa	vccsa
			CCU_IUNITPLL_3.ADDR	ctech_lib_buf	par_ccu.iov_ccu.ccu_iov_rpt.buf_tdo	par_ccu_chain_0	vccsa	vccsa
			IDVDIGCCU03.ADDR	e8xmidvwdnhmif	par_ccu.iov_ccu.idvdigccu03_wrap.idvdigccu03	par_ccu_chain_0	vccsa	vccsa
TAP CDU_CMI_TAP	IOVCTL	SIZE = 42;	IDV_CHAIN					
			IDVDIGCMI05.ADDR	e8xmidvwdnhmif	par_cmi.iov_cmi.idvdigcmi05_wrap.idvdigcmi05	par_cmi_chain_0	vccsagmemcmi	vccsagmemcmi
TAP CDU_DISP_TAP	IOVCTL	SIZE = 197;	IDV_CHAIN	Haim				
			IDVDIGDISP060.ADDR	e8xmidvtdnhmif	par_disp.iov_disp.idvdigdisp060_wrap.idvdigdisp060	par_disp_chain_0	vccio	vccio
			DISP_CCU_PLL_0.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_1.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_2.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_3.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_4.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_5.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_6.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_7.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_8.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_9.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_10.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_11.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_12.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_13.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_14.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISP_CCU_PLL_15.ADDR	ctech_lib_buf	par_disp_fabric.iov_disp_fabric.disp_fabric_iov_rpt1.buf_tdo	par_disp_fabric_chain_0	vccsa	vccsa
			DISPB_PHY_IDV_0.ADDR	PLL?IDV?				
			DISPB_PHY_IDV_1.ADDR	PLL?IDV?				
